geoid,tract_name,as_of,nowcast_gap,baseline_gap,delta,uncertainty,coverage_score
36119011300,Census Tract 113,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011401,Census Tract 114.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011402,Census Tract 114.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011500,Census Tract 115,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011601,Census Tract 116.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011602,Census Tract 116.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011700,Census Tract 117,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011800,Census Tract 118,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119011902,Census Tract 119.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012000,Census Tract 120,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012101,Census Tract 121.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012102,Census Tract 121.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012201,Census Tract 122.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012202,Census Tract 122.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012301,Census Tract 123.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012303,Census Tract 123.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012304,Census Tract 123.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012400,Census Tract 124,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
